pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
TRAPPIST-1,b,TRAPPIST-1 b,Transit,0,7,1.51087081,0.0000006,-0.0000006,0,0.01111,0.00034,-0.00034,0,0.081,,,1,89.65,0.22,-0.27,0,0.00267,0.00227,-0.00227,0,Mass,0.097,0.003,-0.003,0,3.6,3.1,-3.1,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,La Silla Observatory
TRAPPIST-1,c,TRAPPIST-1 c,Transit,0,7,2.4218233,0.0000017,-0.0000017,0,0.01521,0.00047,-0.00047,0,0.083,,,1,89.67,0.17,-0.17,0,0.00434,0.00192,-0.00192,0,Mass,0.094,0.003,-0.003,0,6.45,2.92,-2.92,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,La Silla Observatory
TRAPPIST-1,d,TRAPPIST-1 d,Transit,0,7,4.04961,0.000063,-0.000063,0,0.02144,0.00066,-0.00063,0,0.07,,,1,89.75,0.16,-0.16,0,0.00129,0.00085,-0.00085,0,Mass,0.069,0.003,-0.003,0,4.9,3.3,-3.3,0,1,0,1,2,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,La Silla Observatory
TRAPPIST-1,e,TRAPPIST-1 e,Transit,0,7,6.099615,0.000011,-0.000011,0,0.02817,0.00083,-0.00087,0,0.085,,,1,89.86,0.1,-0.12,0,0.00195,0.00182,-0.00182,0,Mass,0.082,0.003,-0.003,0,4.4,4.2,-4.2,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,Multiple Observatories
TRAPPIST-1,f,TRAPPIST-1 f,Transit,0,7,9.20669,0.000015,-0.000015,0,0.0371,0.0011,-0.0011,0,0.063,,,1,89.68,0.034,-0.034,0,0.00214,0.00057,-0.00057,0,Mass,0.093,0.003,-0.003,0,3.3,0.94,-0.94,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,Multiple Observatories
TRAPPIST-1,g,TRAPPIST-1 g,Transit,0,7,12.35294,0.00012,-0.00012,0,0.0451,0.0014,-0.0014,0,0.061,,,1,89.71,0.025,-0.025,0,0.00422,0.00277,-0.00277,0,Mass,0.101,0.004,-0.004,0,5.2,3.5,-3.5,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,Multiple Observatories
TRAPPIST-1,h,TRAPPIST-1 h,Transit,0,7,18.767,0.004,-0.003,0,,,,,,,,,89.76,0.05,-0.04,0,,,,,,0.067,0.003,-0.003,0,,,,,0,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,6/15/2017,Multiple Observatories
VHS J125601.92-125723.9,b,VHS J125601.92-125723.9 b,Imaging,0,1,,,,,102,9,-9,0,,,,,,,,,11.2,9.7,-1.8,0,Mass,,,,,,,,,0,0,0,1,12h56m02.15s,194.008964,-12d57m21.7s,-12.956031,12.7,1,-1,0,,,,,17.759,0.059,0,V (Johnson),,,,2620,140,-140,0,0.07,0.02,-0.01,0,,,,,5/14/2015,Paranal Observatory
Teegarden's Star,b,Teegarden's Star b,Radial Velocity,0,2,4.91,0.0014,-0.0014,0,0.0252,0.0008,-0.0009,0,0,0.16,0,0,,,,0,0.0033,0.00041,-0.00038,0,Msini,,,,0,,,,0,0,0,0,0,02h53m00.89s,43.253708,+16d52m52.64s,16.881289,3.83,0,0,0,3.83,0,0,0,15.08,0.12,0,V (Johnson),12.275,,0,2904,51,-51,0,0.09,0.01,-0.01,0,0.11,0,0,0,6/27/2019,Calar Alto Observatory
Teegarden's Star,c,Teegarden's Star c,Radial Velocity,0,2,11.409,0.009,-0.009,0,0.0443,0.0014,-0.0015,0,0,0.16,0,0,,,,0,0.00349,0.0005,-0.00047,0,Msini,,,,0,,,,0,0,0,0,0,02h53m00.89s,43.253708,+16d52m52.64s,16.881289,3.83,0,0,0,3.83,0,0,0,15.08,0.12,0,V (Johnson),12.275,,0,2904,51,-51,0,0.09,0.01,-0.01,0,0.11,0,0,0,6/27/2019,Calar Alto Observatory
LP 791-18,b,LP 791-18 b,Transit,0,2,0.948005,0.0000058,-0.0000058,0,0.00969,0.00032,-0.00035,0,0,,,0,87.3,2,-4.9,0,,,,0,,0.1,0.012,-0.012,0,,,,0,0,0,0,0,11h02m45.96s,165.6915,-16d24m22.29s,-16.406192,26.49,0.06,-0.06,0,26.51,0.06,-0.06,0,16.9,0.2,0,V (Johnson),15.072,,0,2960,55,-55,0,0.14,0.01,-0.01,0,0.17,0.02,-0.02,0,11/7/2019,Transiting Exoplanet Survey Satellite (TESS)
LP 791-18,c,LP 791-18 c,Transit,0,2,4.989963,0.00005,-0.00005,0,0.029392,0.00098,-0.00105,0,0,,,0,89.55,0.32,-0.5,0,,,,0,,0.206,0.022,-0.022,0,,,,0,0,0,0,0,11h02m45.96s,165.6915,-16d24m22.29s,-16.406192,26.49,0.06,-0.06,0,26.51,0.06,-0.06,0,16.9,0.2,0,V (Johnson),15.072,,0,2960,55,-55,0,0.14,0.01,-0.01,0,0.17,0.02,-0.02,0,11/7/2019,Transiting Exoplanet Survey Satellite (TESS)
GJ 1214,b,GJ 1214 b,Transit,0,1,1.58040456,0.00000016,-0.00000016,0,0.01411,0.00032,-0.00032,0,,,,,88.17,0.54,-0.54,0,0.0197,0.0027,-0.0027,0,Mass,0.254,0.018,-0.018,0,1.49,0.33,-0.33,0,0,0,0,3,17h15m18.92s,258.828837,+04d57m50.1s,4.96392,14.65,0.04,-0.04,0,14.65,0.04,-0.04,0,15.1,0.6,0,V (Johnson),13.009,,0,3026,150,-150,0,0.15,0.01,-0.01,0,0.22,0.01,-0.01,0,12/3/2015,MEarth Project
GJ 682,b,GJ 682 b,Radial Velocity,0,2,17.478,0.062,-0.04,0,0.08,0.014,-0.004,0,0.08,0.19,-0.08,0,,,,0,0.01384,0.01164,-0.00755,0,Msini,,,,0,,,,0,0,0,0,0,17h37m03.66s,264.265259,-44d19m09.2s,-44.319214,5.01,0,0,0,5.01,0,0,0,10.97,0.011,0,V (Johnson),9.57,,0,3028,,,0,0.27,,,0,,,,0,10/10/2019,Multiple Observatories
GJ 682,c,GJ 682 c,Radial Velocity,0,2,57.32,0.45,-0.48,0,0.176,0.03,-0.009,0,0.1,0.19,-0.1,0,,,,0,0.02737,0.01825,-0.01447,0,Msini,,,,0,,,,0,0,0,0,0,17h37m03.66s,264.265259,-44d19m09.2s,-44.319214,5.01,0,0,0,5.01,0,0,0,10.97,0.011,0,V (Johnson),9.57,,0,3028,,,0,0.27,,,0,,,,0,10/10/2019,Multiple Observatories
LHS 3844,b,LHS 3844 b,Transit,0,1,0.46292913,0.0000019,-0.0000019,0,0.00622,0.00017,-0.00017,0,,,,0,88.5,0.51,-0.51,0,,,,0,,0.116,0.002,-0.002,0,,,,0,0,0,0,0,22h41m58.10s,340.492104,-69d10m08.4s,-69.168986,14.9,0.01,-0.01,0,14.89,0.01,-0.01,0,15.26,0.03,0,V (Johnson),13.393,,0,3036,77,-77,0,0.15,0.01,-0.01,0,0.19,0.01,-0.01,0,1/24/2019,Transiting Exoplanet Survey Satellite (TESS)
Proxima Cen,b,Proxima Cen b,Radial Velocity,0,1,11.186,0.001,-0.002,0,0.0485,0.0041,-0.0051,0,0.35,,,1,,,,,0.004,0.0006,-0.00053,0,Msini,,,,,,,,,0,0,0,0,14h29m42.95s,217.428955,-62d40m46.1s,-62.679485,1.3,0,0,0,1.3,0,0,0,11.11,,0,V (Johnson),8.954,,0,3050,100,-100,0,0.12,0.01,-0.01,0,0.14,0.02,-0.02,0,8/25/2016,European Southern Observatory
YZ Cet,b,YZ Cet b,Radial Velocity,0,3,1.96876,0.00021,-0.00021,0,0.01557,0.00052,-0.00052,0,0,0.12,-0.12,0,,,,0,0.00236,0.00041,-0.00041,0,Msini,,,,0,,,,0,0,0,0,1,01h12m30.64s,18.127668,-16d59m56.3s,-16.998966,3.6,,,0,,,,,12.074,,0,V (Johnson),,,,3056,60,-60,0,0.13,0.01,-0.01,0,0.17,0.01,-0.01,0,8/24/2017,La Silla Observatory
YZ Cet,c,YZ Cet c,Radial Velocity,0,3,3.06008,0.00022,-0.00022,0,0.0209,0.0007,-0.0007,0,0.04,0.11,-0.11,0,,,,0,0.00308,0.00044,-0.00044,0,Msini,,,,0,,,,0,0,0,0,1,01h12m30.64s,18.127668,-16d59m56.3s,-16.998966,3.6,,,0,,,,,12.074,,0,V (Johnson),,,,3056,60,-60,0,0.13,0.01,-0.01,0,0.17,0.01,-0.01,0,8/24/2017,La Silla Observatory
YZ Cet,d,YZ Cet d,Radial Velocity,0,3,4.65627,0.00042,-0.00042,0,0.02764,0.00093,-0.00093,0,0.129,0.096,-0.096,0,,,,0,0.00359,0.00053,-0.00053,0,Msini,,,,0,,,,0,0,0,0,0,01h12m30.64s,18.127668,-16d59m56.3s,-16.998966,3.6,,,0,,,,,12.074,,0,V (Johnson),,,,3056,60,-60,0,0.13,0.01,-0.01,0,0.17,0.01,-0.01,0,8/24/2017,La Silla Observatory
Kepler-42,b,Kepler-42 b,Transit,0,3,1.2137672,0.0000046,-0.0000046,0,0.0116,,,0,,,,,,,,,,,,,,0.07,0.02,-0.02,0,,,,,0,1,0,2,19h28m52.57s,292.219033,+44d37m09.0s,44.61916,38.7,6.3,-6.3,0,40.11,0.06,-0.06,0,16.124,0.055,0,V (Johnson),14.993,,0,3068,174,-174,0,0.13,0.05,-0.05,0,0.17,0.04,-0.04,0,5/14/2014,Kepler
Kepler-42,c,Kepler-42 c,Transit,0,3,0.45328509,0.00000097,-0.00000097,0,0.006,,,0,,,,,,,,,,,,,,0.065,0.018,-0.018,0,,,,,0,1,0,1,19h28m52.57s,292.219033,+44d37m09.0s,44.61916,38.7,6.3,-6.3,0,40.11,0.06,-0.06,0,16.124,0.055,0,V (Johnson),14.993,,0,3068,174,-174,0,0.13,0.05,-0.05,0,0.17,0.04,-0.04,0,5/14/2014,Kepler
Kepler-42,d,Kepler-42 d,Transit,0,3,1.865169,0.000014,-0.000014,0,0.0154,,,0,,,,,,,,,,,,,,0.051,0.016,-0.016,0,,,,,0,1,0,2,19h28m52.57s,292.219033,+44d37m09.0s,44.61916,38.7,6.3,-6.3,0,40.11,0.06,-0.06,0,16.124,0.055,0,V (Johnson),14.993,,0,3068,174,-174,0,0.13,0.05,-0.05,0,0.17,0.04,-0.04,0,5/14/2014,Kepler
GJ 3512,b,GJ 3512 b,Radial Velocity,0,1,203.59,0.14,-0.14,0,0.338,0.008,-0.0084,0,0.4356,0.0042,-0.0042,0,,,,0,0.463,0.022,-0.023,0,Msini,,,,0,,,,0,0,0,0,0,08h41m20.13s,130.333891,+59d29m50.6s,59.497391,9.49,0.01,-0.01,0,9.49,0.01,-0.01,0,15.05,0.02,0,V (Johnson),13.112,,0,3081,51,-51,0,0.12,0.01,-0.01,0,0.14,0.01,-0.01,0,10/10/2019,Calar Alto Observatory
Kepler-445,b,Kepler-445 b,Transit,0,3,2.984151,0.000011,-0.000011,0,,,,,0,,,0,89.74,0.18,-0.28,0,,,,,,0.14,0.02,-0.02,0,,,,,0,1,0,2,19h54m56.66s,298.736067,+46d29m54.8s,46.498552,90,,,0,127.66,0.99,-0.99,0,17.475,,0,Kepler-band,16.716,,0,3157,60,-60,0,0.18,0.04,-0.04,0,0.21,0.03,-0.03,0,1/14/2015,Kepler
Kepler-445,c,Kepler-445 c,Transit,0,3,4.871229,0.000011,-0.000011,0,,,,,0,,,0,89.91,0.07,-0.1,0,,,,,,0.22,0.03,-0.03,0,,,,,0,1,0,2,19h54m56.66s,298.736067,+46d29m54.8s,46.498552,90,,,0,127.66,0.99,-0.99,0,17.475,,0,Kepler-band,16.716,,0,3157,60,-60,0,0.18,0.04,-0.04,0,0.21,0.03,-0.03,0,1/14/2015,Kepler
Kepler-445,d,Kepler-445 d,Transit,0,3,8.15275,0.0004,-0.0004,0,,,,,0,,,0,89.61,0.27,-0.25,0,,,,,,0.11,0.02,-0.02,0,,,,,0,1,0,2,19h54m56.66s,298.736067,+46d29m54.8s,46.498552,90,,,0,127.66,0.99,-0.99,0,17.475,,0,Kepler-band,16.716,,0,3157,60,-60,0,0.18,0.04,-0.04,0,0.21,0.03,-0.03,0,1/14/2015,Kepler
GJ 3323,b,GJ 3323 b,Radial Velocity,0,2,5.3636,0.0007,-0.0007,0,0.03282,0.00054,-0.00056,0,0.23,0.11,-0.11,0,,,,,0.00636,0.00082,-0.00079,0,Msini,,,,,,,,,0,0,0,0,05h01m57.43s,75.48928,-06d56m46.5s,-6.946263,5.32,0.04,-0.04,0,5.38,0,0,0,12.22,,0,V (Johnson),10.647,,0,3159,49,-49,0,0.16,,,0,0.12,0.03,-0.03,0,3/30/2017,La Silla Observatory
GJ 3323,c,GJ 3323 c,Radial Velocity,0,2,40.54,0.21,-0.19,0,0.1264,0.0021,-0.0022,0,0.17,0.21,-0.12,0,,,,,0.00727,0.00157,-0.00154,0,Msini,,,,,,,,,0,0,0,0,05h01m57.43s,75.48928,-06d56m46.5s,-6.946263,5.32,0.04,-0.04,0,5.38,0,0,0,12.22,,0,V (Johnson),10.647,,0,3159,49,-49,0,0.16,,,0,0.12,0.03,-0.03,0,3/30/2017,La Silla Observatory
K2-25,b,K2-25 b,Transit,0,1,3.484552,0.000031,-0.000037,0,,,,0,0.27,0.16,-0.21,0,88.3,1.2,-0.7,0,,,,0,,0.306,0.085,-0.028,0,,,,0,0,0,1,0,04h13m05.62s,63.273434,+15d14m51.9s,15.247763,45.01,0.17,-0.17,0,45.01,0.17,-0.17,0,15.881,0.03,0,V (Johnson),14.382,,0,3180,60,-60,0,0.29,0.02,-0.02,0,0.29,0.02,-0.02,0,9/28/2017,K2
Ross 128,b,Ross 128 b,Radial Velocity,0,1,9.8658,0.007,-0.007,0,0.0496,0.0017,-0.0017,0,0.116,0.097,-0.097,0,,,,0,0.0044,0.00066,-0.00066,0,Msini,,,,0,,,,0,0,0,1,1,11h47m44.40s,176.934982,+00d48m16.4s,0.804563,3.38,0.01,-0.01,0,3.37,0,0,0,11.15,,0,V (Johnson),9.591,,0,3192,60,-60,0,0.17,0.02,-0.02,0,0.2,0.01,-0.01,0,11/17/2017,La Silla Observatory
Kepler-1582,b,Kepler-1582 b,Transit,0,1,4.83817712,0.0000884,-0.0000884,0,,,,,,,,,,,,,,,,,,0.133,0.015,-0.012,0,,,,,0,1,0,1,19h17m30.40s,289.37665,+41d09m31.0s,41.158613,112,10.54,-10.64,0,79.07,0.44,-0.44,0,17.058,,0,Kepler-band,16.414,,0,3208,24.62,-23.86,0,0.28,0.03,-0.03,0,0.3,0.02,-0.03,0,5/10/2016,Kepler
K2-28,b,K2-28 b,Transit,0,1,2.260455,0.000041,-0.000041,0,0.0214,0.0013,-0.0013,0,0,,,0,88.9,0.8,-1.2,0,,,,,,0.207,0.021,-0.021,0,,,,,0,0,1,1,22h22m29.85s,335.62439,-07d57m19.3s,-7.955366,63.11,0.32,-0.32,0,63.11,0.32,-0.32,0,16.061,0.067,0,V (Johnson),14.68,,0,3214,60,-60,0,0.26,0.05,-0.05,0,0.29,0.03,-0.03,0,2/25/2016,K2
LHS 1140,b,LHS 1140 b,Transit,0,2,24.736959,0.00008,-0.00008,0,0.0936,0.0024,-0.0024,0,0.06,,,1,89.89,0.05,-0.03,0,0.02196,0.0028,-0.0028,0,Mass,0.154,0.003,-0.003,0,7.5,1,-1,0,0,0,0,0,00h44m59.34s,11.24724,-15d16m17.5s,-15.271532,14.99,0.02,-0.02,0,14.99,0.02,-0.02,0,14.18,0.03,0,V (Johnson),12.671,,0,3216,39,-39,0,0.18,0.01,-0.01,0,0.21,0,0,0,12/6/2018,MEarth Project
LHS 1140,c,LHS 1140 c,Transit,0,2,3.777931,0.000003,-0.000003,0,0.02675,0.0007,-0.0007,0,0.31,,,1,89.92,0.06,-0.09,0,0.00569,0.00123,-0.00123,0,Mass,0.114,0.002,-0.002,0,4.7,1.1,-1.1,0,0,0,0,0,00h44m59.34s,11.24724,-15d16m17.5s,-15.271532,14.99,0.02,-0.02,0,14.99,0.02,-0.02,0,14.18,0.03,0,V (Johnson),12.671,,0,3216,39,-39,0,0.18,0.01,-0.01,0,0.21,0,0,0,12/6/2018,Multiple Observatories
GJ 1265,b,GJ 1265 b,Radial Velocity,0,1,3.6511,0.0012,-0.0012,0,0.026,0.001,-0.001,0,0.04,0.04,-0.04,0,,,,0,0.02328,0.00157,-0.00157,0,Msini,,,,0,,,,0,0,0,0,0,22h13m42.88s,333.428676,-17d41m08.8s,-17.685771,10.26,0.01,-0.01,0,10.26,0.01,-0.01,0,13.57,0.02,0,V (Johnson),12.081,,0,3236,51,-51,0,0.18,0.02,-0.02,0,0.19,0.01,-0.01,0,12/6/2018,Calar Alto Observatory
Kepler-1649,b,Kepler-1649 b,Transit,0,1,8.68909,0.000024,-0.000024,0,0.0514,0.0028,-0.0028,0,0,,,0,89.57,0.32,-0.32,0,,,,,,0.096,0.013,-0.013,0,,,,,0,1,0,0,19h30m00.90s,292.503769,+41d49m49.5s,41.830421,92.43,0.54,-0.54,0,92.43,0.54,-0.54,0,17.131,,0,Kepler-band,16.268,,0,3240,61,-61,0,0.22,0.02,-0.02,0,0.25,0.04,-0.04,0,4/27/2017,Kepler
GJ 849,b,GJ 849 b,Radial Velocity,0,1,1882,250,-250,0,2.35,0.22,-0.22,0,0.04,0.02,-0.02,0,,,,0,1,0.31,-0.31,0,Msini,,,,0,,,,0,0,0,0,0,22h09m40.35s,332.418121,-04d38m26.6s,-4.640729,8.8,0,0,0,8.8,0,0,0,10.37,0.011,0,V (Johnson),9.224,,0,3241,150,-150,0,0.65,0.24,-0.24,0,0.53,0.05,-0.05,0,9/6/2018,W. M. Keck Observatory
GJ 1148,b,GJ 1148 b,Radial Velocity,0,2,41.38,0.002,-0.001,0,0.166,0.001,-0.001,0,0.38,0.01,-0.012,0,,,,0,0.30425,0.00444,-0.00321,0,Msini,,,,0,,,,0,0,0,0,0,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,11.02,0.01,-0.01,0,11.02,0.01,-0.01,0,11.92,0.02,0,V (Johnson),10.577,,0,3264,,,0,0.35,,,0,0.4,,,0,10/19/2017,W. M. Keck Observatory
GJ 1148,c,GJ 1148 c,Radial Velocity,0,2,532.58,4.14,-2.52,0,0.912,0.005,-0.002,0,0.342,0.05,-0.062,0,,,,0,0.21414,0.01545,-0.00689,0,Msini,,,,0,,,,0,0,0,0,0,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,11.02,0.01,-0.01,0,11.02,0.01,-0.01,0,11.92,0.02,0,V (Johnson),10.577,,0,3264,,,0,0.35,,,0,0.4,,,0,10/19/2017,Calar Alto Observatory
GJ 1132,b,GJ 1132 b,Transit,0,2,1.628931,0.000027,-0.000027,0,0.0153,0.0005,-0.0005,0,0.22,,,1,,,,0,0.00522,0.00072,-0.00072,0,Mass,,,,0,6.3,1.3,-1.3,0,0,0,0,2,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.62,0.01,-0.01,0,12.62,0.01,-0.01,0,13.49,0.03,0,V (Johnson),12.138,,0,3270,140,-140,0,0.18,0.02,-0.02,0,0.21,0.01,-0.01,0,6/21/2018,Cerro Tololo Inter-American Observatory
GJ 1132,c,GJ 1132 c,Radial Velocity,0,2,8.929,0.01,-0.01,0,0.0476,0.0017,-0.0017,0,0.27,,,1,,,,0,0.00831,0.00138,-0.00138,0,Msini,,,,0,,,,0,0,0,0,1,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.62,0.01,-0.01,0,12.62,0.01,-0.01,0,13.49,0.03,0,V (Johnson),12.138,,0,3270,140,-140,0,0.18,0.02,-0.02,0,0.21,0.01,-0.01,0,6/21/2018,La Silla Observatory
Kepler-1646,b,Kepler-1646 b,Transit,0,1,4.48558383,0.0000105,-0.0000105,0,,,,,,,,,,,,,,,,,,0.11,0.025,-0.021,0,,,,,0,1,0,1,19h10m06.34s,287.526422,+42d54m46.5s,42.912908,81,18.75,-16.91,0,128.06,0.62,-0.62,0,15.737,,0,Kepler-band,15.655,,0,3299,36.22,-41.07,0,0.24,0.06,-0.06,0,0.26,0.05,-0.05,0,5/10/2016,Kepler
GJ 3779,b,GJ 3779 b,Radial Velocity,0,1,3.0232,0.0013,-0.0013,0,0.026,0.001,-0.001,0,0.07,0.05,-0.05,0,,,,0,0.02517,0.00157,-0.00157,0,Msini,,,,0,,,,0,0,0,0,0,13h22m56.74s,200.736403,+24d28m03.5s,24.467626,13.75,0.01,-0.01,0,13.75,0.01,-0.01,0,12.96,0.02,0,V (Johnson),11.627,,0,3324,51,-51,0,0.27,0.02,-0.02,0,0.28,0.01,-0.01,0,12/6/2018,Calar Alto Observatory
LTT 1445 A,b,LTT 1445 A b,Transit,0,1,5.35882,0.0003,-0.00031,0,0.03807,0.00068,-0.00071,0,0.19,0.35,-0.14,0,89.4,0.41,-0.46,0,0.00692,0.00535,-0.00661,0,Mass,0.123,0.012,-0.011,0,4.4,4,-4.2,0,0,0,0,0,03h01m51.39s,45.464111,-16d35m36.1s,-16.593372,6.87,0,0,0,6.87,0,0,0,11.22,0.02,0,V (Johnson),10.047,,0,3337,150,-150,0,0.26,0.01,-0.01,0,0.28,0.02,-0.02,0,8/15/2019,Transiting Exoplanet Survey Satellite (TESS)
GJ 687,b,GJ 687 b,Radial Velocity,0,1,38.14,0.015,-0.015,0,0.17,0.01,-0.01,0,0.04,0.08,-0.08,0,,,,0,0.06,0.01,-0.01,0,Msini,,,,0,,,,0,0,0,0,0,17h36m25.90s,264.10791,+68d20m20.9s,68.339142,4.55,0,0,0,4.55,0,0,0,9.15,,0,V (Johnson),8.028,,0,3340,97,-97,0,0.45,0.07,-0.07,0,0.43,0.03,-0.03,0,9/6/2018,Lick Observatory
K2-288 B,b,K2-288 B b,Transit,0,1,31.393463,0.000067,-0.000069,0,0.164,0.03,-0.03,0,,,,0,89.81,0.13,-0.17,0,,,,0,,0.17,0.027,-0.027,0,,,,0,0,0,1,0,03h41m46.43s,55.443439,+18d16m08.0s,18.268902,65.72,0.87,-0.87,0,65.72,0.87,-0.87,0,13.868,0.12,0,V (Johnson),14.545,,0,3341,276,-276,0,0.33,0.02,-0.02,0,0.32,0.03,-0.03,0,1/10/2019,Kepler
Wolf 1061,b,Wolf 1061 b,Radial Velocity,0,3,4.8869,0.0005,-0.0005,0,0.0375,0.0012,-0.0013,0,0.15,0.13,-0.1,0,,,,,0.00601,0.00082,-0.00079,0,Msini,,,,,,,,,0,0,0,0,16h30m18.06s,247.575241,-12d39m45.3s,-12.662594,4.31,0,0,0,4.31,0,0,0,10.03,,0,V (Johnson),8.794,,0,3342,49,-49,0,0.29,,,0,0.31,0.03,-0.03,0,3/30/2017,La Silla Observatory
Wolf 1061,c,Wolf 1061 c,Radial Velocity,0,3,17.8719,0.0059,-0.0059,0,0.089,0.0029,-0.0031,0,0.11,0.1,-0.07,0,,,,,0.01073,0.00135,-0.00129,0,Msini,,,,,,,,,0,0,0,0,16h30m18.06s,247.575241,-12d39m45.3s,-12.662594,4.31,0,0,0,4.31,0,0,0,10.03,,0,V (Johnson),8.794,,0,3342,49,-49,0,0.29,,,0,0.31,0.03,-0.03,0,3/30/2017,La Silla Observatory
Wolf 1061,d,Wolf 1061 d,Radial Velocity,0,3,217.21,0.55,-0.52,0,0.47,0.015,-0.017,0,0.55,0.08,-0.09,0,,,,,0.02423,0.00352,-0.00334,0,Msini,,,,,,,,,0,0,0,0,16h30m18.06s,247.575241,-12d39m45.3s,-12.662594,4.31,0,0,0,4.31,0,0,0,10.03,,0,V (Johnson),8.794,,0,3342,49,-49,0,0.29,,,0,0.31,0.03,-0.03,0,3/30/2017,La Silla Observatory
G 9-40,b,G 9-40 b,Transit,0,1,5.746007,0.000006,-0.000006,0,0.0385,0.0078,-0.0053,0,0,,,0,88.57,0.63,-0.47,0,,,,0,,0.181,0.009,-0.009,0,,,,0,0,0,1,0,08h58m52.35s,134.718109,+21d04m33.8s,21.076048,27.93,0.04,-0.04,0,27.95,0.04,-0.04,0,13.823,0.04,0,V (Johnson),12.733,,0,3348,32,-32,0,0.29,0.02,-0.02,0,0.31,0.01,-0.01,0,1/16/2020,K2
GJ 667 C,b,GJ 667 C b,Radial Velocity,0,5,7.2004,0.0017,-0.0017,0,0.0505,0.0044,-0.0053,0,0.13,0.1,-0.11,0,,,,,0.018,0.004,-0.004,0,Msini,,,,,,,,,0,0,0,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,,,0,7.25,0,0,0,10.22,0.1,0,V (Johnson),9.38,,0,3350,50,-50,0,0.33,0.02,-0.02,0,,,,,5/14/2014,La Silla Observatory
GJ 667 C,c,GJ 667 C c,Radial Velocity,0,5,28.14,0.053,-0.065,0,0.125,0.012,-0.013,0,0.02,0.15,-0.02,0,,,,,0.012,0.005,-0.004,0,Msini,,,,,,,,,0,0,0,0,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.8,,,0,7.25,0,0,0,10.22,0.1,0,V (Johnson),9.38,,0,3350,50,-50,0,0.33,0.02,-0.02,0,,,,,5/14/2014,La Silla Observatory
